make_id;processing_variable;variable_phase;variable_value;variable_order
42;PROOF_cabinet;6;3;3
45;PROOF_temperature;2;5;1
45;PROOF_rel_humidity;2;<uncontrolled>;2
45;PROOF_temperature;4;20.2;1
45;PROOF_rel_humidity;4;58.7;2
45;PROOF_temp;6;20;1
45;PROOF_rel_humidity;6;92;2
45;PROOF_cabinet;6;3;3
46;PROOF_temperature;2;20;1
46;PROOF_rel_humidity;2;57.2;2
46;PROOF_temperature;4;20.100000000000001;1
46;PROOF_rel_humidity;4;60.5;2
46;PROOF_temp;6;35;1
46;PROOF_rel_humidity;6;92;2
46;PROOF_cabinet;6;3;3
47;PROOF_temperature;2;4;1
47;PROOF_rel_humidity;2;<uncontrolled>;2
47;PROOF_temperature;4;20.2;1
47;PROOF_rel_humidity;4;59.7;2
47;PROOF_temp;6;35;1
47;PROOF_rel_humidity;6;92;2
47;PROOF_cabinet;6;3;3
74;PROOF_temperature;2;18.8;1
74;PROOF_rel_humidity;2;46.7;2
74;PROOF_temperature;4;18.8;1
74;PROOF_rel_humidity;4;46.8;2
74;PROOF_temp;6;5;1
74;PROOF_rel_humidity;6;<uncontrolled>;2
75;PROOF_temperature;2;18.899999999999999;1
75;PROOF_rel_humidity;2;47.1;2
75;PROOF_temperature;4;19.7;1
75;PROOF_rel_humidity;4;52.7;2
75;PROOF_temp;6;5;1
75;PROOF_rel_humidity;6;<uncontrolled>;2
76;PROOF_temperature;2;19.2;1
76;PROOF_rel_humidity;2;47.9;2
76;PROOF_temperature;4;19.8;1
76;PROOF_rel_humidity;4;51.9;2
76;PROOF_temp;6;5;1
76;PROOF_rel_humidity;6;<uncontrolled>;2
78;PROOF_temperature;2;19.600000000000001;1
78;PROOF_rel_humidity;2;48.9;2
78;PROOF_temperature;4;19.8;1
78;PROOF_rel_humidity;4;48.9;2
78;PROOF_temp;6;20;1
78;PROOF_rel_humidity;6;90;2
78;PROOF_cabinet;6;3;3
79;PROOF_temperature;2;4;1
79;PROOF_rel_humidity;2;<uncontrolled>;2
79;PROOF_temperature;4;19.7;1
79;PROOF_rel_humidity;4;52.8;2
79;PROOF_temp;6;5;1
79;PROOF_rel_humidity;6;<uncontrolled>;2
80;PROOF_temperature;2;19.5;1
80;PROOF_rel_humidity;2;57.9;2
80;PROOF_temperature;4;19.899999999999999;1
80;PROOF_rel_humidity;4;57.9;2
80;PROOF_temp;6;5;1
80;PROOF_rel_humidity;6;<uncontrolled>;2
84;PROOF_temperature;2;5;1
84;PROOF_temperature;4;19.899999999999999;1
84;PROOF_rel_humidity;4;51.7;2
84;PROOF_temp;6;20;1
84;PROOF_rel_humidity;6;92;2
84;PROOF_remarks;6;"deeg is ""over the top"" gerezen en ingevallen.";4
85;PROOF_temperature;2;20;1
85;PROOF_rel_humidity;2;52.6;2
85;PROOF_temperature;4;19.899999999999999;1
85;PROOF_rel_humidity;4;47.5;2
85;PROOF_temp;6;35;1
85;PROOF_rel_humidity;6;60;2
85;PROOF_remarks;6;"broden hebben een harde en droge korst na narijs
grote luchtbellen onder de korst";4
86;PROOF_temperature;2;5;1
86;PROOF_temperature;4;20.100000000000001;1
86;PROOF_rel_humidity;4;49.8;2
86;PROOF_temp;6;5;1
86;PROOF_rel_humidity;6;<uncontrolled>;2
87;PROOF_temperature;2;19.7;1
87;PROOF_rel_humidity;2;51.5;2
87;PROOF_temperature;4;20.2;1
87;PROOF_rel_humidity;4;50.3;2
87;PROOF_temp;6;20;1
87;PROOF_rel_humidity;6;88;2
88;PROOF_temperature;2;19.8;1
88;PROOF_rel_humidity;2;50;2
88;PROOF_temperature;4;20.2;1
88;PROOF_rel_humidity;4;50.5;2
88;PROOF_temp;6;20;1
88;PROOF_rel_humidity;6;77;2
89;PROOF_temperature;2;19.899999999999999;1
89;PROOF_rel_humidity;2;53.8;2
89;PROOF_temperature;4;20.2;1
89;PROOF_rel_humidity;4;55.1;2
89;PROOF_temp;6;5;1
89;PROOF_rel_humidity;6;<uncontrolled>;2
