;set_temperature__sum_values;set_temperature__median;set_temperature__mean;set_temperature__length;set_temperature__standard_deviation;set_temperature__variance;set_temperature__root_mean_square;set_temperature__maximum;set_temperature__absolute_maximum;set_temperature__minimum;real_temperature__sum_values;real_temperature__median;real_temperature__mean;real_temperature__length;real_temperature__standard_deviation;real_temperature__variance;real_temperature__root_mean_square;real_temperature__maximum;real_temperature__absolute_maximum;real_temperature__minimum
DO742800000069FECD41;142820.0;20.0;20.0;7141.0;0.0;0.0;20.0;20.0;20.0;20.0;146069.15499999994;20.455;20.45499999999999;7141.0;7.105427357601002e-15;5.048709793414476e-29;20.454999999999995;20.455;20.455;20.455
DO74C80000006A00DC41;142820.0;20.0;20.0;7141.0;0.0;0.0;20.0;20.0;20.0;20.0;149689.642;20.962;20.962;7141.0;0.0;0.0;20.962;20.962;20.962;20.962
DO75CE00000069FC1541;142820.0;20.0;20.0;7141.0;0.0;0.0;20.0;20.0;20.0;20.0;146347.654;20.494;20.494;7141.0;0.0;0.0;20.494;20.494;20.494;20.494
DO75EB00000069FD8641;142820.0;20.0;20.0;7141.0;0.0;0.0;20.0;20.0;20.0;20.0;142662.89800000004;19.978;19.978000000000005;7141.0;3.552713678800501e-15;1.262177448353619e-29;19.978;19.978;19.978;19.978
DO76100000006A058341;14405.0;5.0;5.0;2881.0;0.0;0.0;5.0;5.0;5.0;5.0;28228.038;9.798;9.798;2881.0;0.0;0.0;9.798;9.798;9.798;9.798
DO761D00000069FCED41;14405.0;5.0;5.0;2881.0;0.0;0.0;5.0;5.0;5.0;5.0;28340.397000000004;9.837;9.837000000000002;2881.0;1.7763568394002505e-15;3.1554436208840472e-30;9.837;9.837;9.837;9.837
DO810C0000007E66C341;153020.0;20.0;20.0;7651.0;0.0;0.0;20.0;20.0;20.0;20.0;137718.0;18.0;18.0;7651.0;0.0;0.0;18.0;18.0;18.0;18.0
DO81760000007E6C8541;153020.0;20.0;20.0;7651.0;0.0;0.0;20.0;20.0;20.0;20.0;145369.0;19.0;19.0;7651.0;0.0;0.0;19.0;19.0;19.0;19.0
DO82020000007E67A341;7205.0;5.0;5.0;1441.0;0.0;0.0;5.0;5.0;5.0;5.0;28820.0;20.0;20.0;1441.0;0.0;0.0;20.0;20.0;20.0;20.0
DO82B70000007E6FDD41;7205.0;5.0;5.0;1441.0;0.0;0.0;5.0;5.0;5.0;5.0;25217.5;17.5;17.5;1441.0;0.0;0.0;17.5;17.5;17.5;17.5
DO83100000007E6A9D41;35705.0;5.0;5.0;7141.0;0.0;0.0;5.0;5.0;5.0;5.0;157102.0;22.0;22.0;7141.0;0.0;0.0;22.0;22.0;22.0;22.0
DO83690000007E6CE141;35705.0;5.0;5.0;7141.0;0.0;0.0;5.0;5.0;5.0;5.0;160672.5;22.5;22.5;7141.0;0.0;0.0;22.5;22.5;22.5;22.5
DO842800000069FECD41;35630.0;5.0;5.0;7126.0;0.0;0.0;5.0;5.0;5.0;5.0;102421.99799999998;14.373;14.372999999999998;7126.0;1.7763568394002505e-15;3.1554436208840472e-30;14.373000000000001;14.373;14.373;14.373
DO84C80000006A00DC41;35630.0;5.0;5.0;7126.0;0.0;0.0;5.0;5.0;5.0;5.0;109797.40799999997;15.408;15.407999999999996;7126.0;3.552713678800501e-15;1.262177448353619e-29;15.408;15.408;15.408;15.408
DO85CE00000069FC1541;241535.0;35.0;35.0;6901.0;0.0;0.0;35.0;35.0;35.0;35.0;148371.5;21.5;21.5;6901.0;0.0;0.0;21.5;21.5;21.5;21.5
DO85EB00000069FD8641;241535.0;35.0;35.0;6901.0;0.0;0.0;35.0;35.0;35.0;35.0;148281.787;21.487;21.487000000000002;6901.0;3.552713678800501e-15;1.262177448353619e-29;21.486999999999995;21.487;21.487;21.487
DO870C0000007E66C341;37130.0;5.0;5.0;7426.0;0.0;0.0;5.0;5.0;5.0;5.0;126242.0;17.0;17.0;7426.0;0.0;0.0;17.0;17.0;17.0;17.0
DO87760000007E6C8541;37130.0;5.0;5.0;7426.0;0.0;0.0;5.0;5.0;5.0;5.0;129955.0;17.5;17.5;7426.0;0.0;0.0;17.5;17.5;17.5;17.5
DO88020000007E67A341;1505.0;5.0;5.0;301.0;0.0;0.0;5.0;5.0;5.0;5.0;5568.5;18.5;18.5;301.0;0.0;0.0;18.5;18.5;18.5;18.5
DO88B70000007E6FDD41;1505.0;5.0;5.0;301.0;0.0;0.0;5.0;5.0;5.0;5.0;4966.5;16.5;16.5;301.0;0.0;0.0;16.5;16.5;16.5;16.5
DO89100000007E6A9D41;1505.0;5.0;5.0;301.0;0.0;0.0;5.0;5.0;5.0;5.0;5267.5;17.5;17.5;301.0;0.0;0.0;17.5;17.5;17.5;17.5
DO89690000007E6CE141;1505.0;5.0;5.0;301.0;0.0;0.0;5.0;5.0;5.0;5.0;5568.5;18.5;18.5;301.0;0.0;0.0;18.5;18.5;18.5;18.5
DO902800000069FECD41;7320.0;5.0;5.0;1464.0;0.0;0.0;5.0;5.0;5.0;5.0;28370.856;19.379;19.379;1464.0;0.0;0.0;19.379;19.379;19.379;19.379
DO90C80000006A00DC41;7320.0;5.0;5.0;1464.0;0.0;0.0;5.0;5.0;5.0;5.0;28195.176000000007;19.259;19.259000000000004;1464.0;3.552713678800501e-15;1.262177448353619e-29;19.258999999999997;19.259;19.259;19.259
DO92100000006A058341;13505.0;5.0;5.0;2701.0;0.0;0.0;5.0;5.0;5.0;5.0;47453.86899999999;17.569;17.568999999999996;2701.0;3.552713678800501e-15;1.262177448353619e-29;17.569000000000003;17.569;17.569;17.569
DO921D00000069FCED41;13505.0;5.0;5.0;2701.0;0.0;0.0;5.0;5.0;5.0;5.0;43783.21000000001;16.21;16.21;2701.0;0.0;0.0;16.21;16.21;16.21;16.21
DO930C0000007E66C341;148180.0;20.0;20.0;7409.0;0.0;0.0;20.0;20.0;20.0;20.0;114839.5;15.5;15.5;7409.0;0.0;0.0;15.5;15.5;15.5;15.5
DO93760000007E6C8541;148180.0;20.0;20.0;7409.0;0.0;0.0;20.0;20.0;20.0;20.0;125953.0;17.0;17.0;7409.0;0.0;0.0;17.0;17.0;17.0;17.0
DO94020000007E67A341;259315.0;35.0;35.0;7409.0;0.0;0.0;35.0;35.0;35.0;35.0;122248.5;16.5;16.5;7409.0;0.0;0.0;16.5;16.5;16.5;16.5
DO94B70000007E6FDD41;259315.0;35.0;35.0;7409.0;0.0;0.0;35.0;35.0;35.0;35.0;118544.0;16.0;16.0;7409.0;0.0;0.0;16.0;16.0;16.0;16.0
DO95100000007E6A9D41;232645.0;35.0;35.0;6647.0;0.0;0.0;35.0;35.0;35.0;35.0;142910.5;21.5;21.5;6647.0;0.0;0.0;21.5;21.5;21.5;21.5
DO95690000007E6CE141;232645.0;35.0;35.0;6647.0;0.0;0.0;35.0;35.0;35.0;35.0;129616.5;19.5;19.5;6647.0;0.0;0.0;19.5;19.5;19.5;19.5
DO962800000069FECD41;98200.0;20.0;20.0;4910.0;0.0;0.0;20.0;20.0;20.0;20.0;90486.38999999998;18.429;18.429;4910.0;0.0;0.0;18.429;18.429;18.429;18.429
DO96C80000006A00DC41;98200.0;20.0;20.0;4910.0;0.0;0.0;20.0;20.0;20.0;20.0;90535.48999999999;18.439;18.438999999999997;4910.0;3.552713678800501e-15;1.262177448353619e-29;18.439;18.439;18.439;18.439
DO97CE00000069FC1541;21620.0;20.0;20.0;1081.0;0.0;0.0;20.0;20.0;20.0;20.0;11265.100999999999;10.421;10.421;1081.0;0.0;0.0;10.420999999999998;10.421;10.421;10.421
DO97EB00000069FD8641;21620.0;20.0;20.0;1081.0;0.0;0.0;20.0;20.0;20.0;20.0;11255.372000000001;10.412;10.412;1081.0;0.0;0.0;10.412;10.412;10.412;10.412
DO98100000006A058341;21620.0;20.0;20.0;1081.0;0.0;0.0;20.0;20.0;20.0;20.0;10591.637999999999;9.798;9.797999999999998;1081.0;1.7763568394002505e-15;3.1554436208840472e-30;9.798;9.798;9.798;9.798
DO981D00000069FCED41;21620.0;20.0;20.0;1081.0;0.0;0.0;20.0;20.0;20.0;20.0;13363.321999999998;12.362;12.361999999999998;1081.0;1.7763568394002505e-15;3.1554436208840472e-30;12.362;12.362;12.362;12.362
DO990C0000007E66C341;1505.0;5.0;5.0;301.0;0.0;0.0;5.0;5.0;5.0;5.0;5173.588;17.188;17.188;301.0;0.0;0.0;17.187999999999995;17.188;17.188;17.188
DO99760000007E6C8541;1505.0;5.0;5.0;301.0;0.0;0.0;5.0;5.0;5.0;5.0;5606.125;18.625;18.625;301.0;0.0;0.0;18.625;18.625;18.625;18.625
