;set_temperature__sum_values;set_temperature__median;set_temperature__mean;set_temperature__length;set_temperature__standard_deviation;set_temperature__variance;set_temperature__root_mean_square;set_temperature__maximum;set_temperature__absolute_maximum;set_temperature__minimum;real_temperature__sum_values;real_temperature__median;real_temperature__mean;real_temperature__length;real_temperature__standard_deviation;real_temperature__variance;real_temperature__root_mean_square;real_temperature__maximum;real_temperature__absolute_maximum;real_temperature__minimum
DO72B70000007E6FDD41;177177.0;231.0;231.0;767.0;0.0;0.0;231.0;231.0;231.0;231.0;20804.875;27.125;27.125;767.0;0.0;0.0;27.125;27.125;27.125;27.125
DO73100000007E6A9D41;148071.0;231.0;231.0;641.0;0.0;0.0;231.0;231.0;231.0;231.0;13100.757999999998;20.438;20.437999999999995;641.0;3.552713678800501e-15;1.262177448353619e-29;20.437999999999995;20.438;20.438;20.438
DO73690000007E6CE141;148071.0;231.0;231.0;641.0;0.0;0.0;231.0;231.0;231.0;231.0;13741.757999999996;21.438;21.437999999999995;641.0;3.552713678800501e-15;1.262177448353619e-29;21.438;21.438;21.438;21.438
DO742800000069FECD41;46431.0;231.0;231.0;201.0;0.0;0.0;231.0;231.0;231.0;231.0;6143.3640000000005;30.564;30.564000000000004;201.0;3.552713678800501e-15;1.262177448353619e-29;30.563999999999997;30.564;30.564;30.564
DO74C80000006A00DC41;46431.0;231.0;231.0;201.0;0.0;0.0;231.0;231.0;231.0;231.0;4314.866999999998;21.467;21.46699999999999;201.0;7.105427357601002e-15;5.048709793414476e-29;21.466999999999995;21.467;21.467;21.467
DO75CE00000069FC1541;36498.0;231.0;231.0;158.0;0.0;0.0;231.0;231.0;231.0;231.0;9734.854000000003;61.613;61.61300000000002;158.0;2.1316282072803006e-14;4.543838814073028e-28;61.61299999999999;61.613;61.613;61.613
DO75EB00000069FD8641;36498.0;231.0;231.0;158.0;0.0;0.0;231.0;231.0;231.0;231.0;3951.1060000000007;25.007;25.007000000000005;158.0;3.552713678800501e-15;1.262177448353619e-29;25.007000000000005;25.007;25.007;25.007
DO76100000006A058341;46431.0;231.0;231.0;201.0;0.0;0.0;231.0;231.0;231.0;231.0;1867.692;9.292;9.292;201.0;0.0;0.0;9.292;9.292;9.292;9.292
DO761D00000069FCED41;46431.0;231.0;231.0;201.0;0.0;0.0;231.0;231.0;231.0;231.0;1063.0890000000002;5.289;5.289000000000001;201.0;8.881784197001252e-16;7.888609052210118e-31;5.289000000000001;5.289;5.289;5.289
DO810C0000007E66C341;26082.0;189.0;189.0;138.0;0.0;0.0;189.0;189.0;189.0;189.0;7728.0;56.0;56.0;138.0;0.0;0.0;56.0;56.0;56.0;56.0
DO81760000007E6C8541;26082.0;189.0;189.0;138.0;0.0;0.0;189.0;189.0;189.0;189.0;3588.0;26.0;26.0;138.0;0.0;0.0;26.0;26.0;26.0;26.0
DO82020000007E67A341;32508.0;189.0;189.0;172.0;0.0;0.0;189.0;189.0;189.0;189.0;2408.0;14.0;14.0;172.0;0.0;0.0;14.0;14.0;14.0;14.0
DO82B70000007E6FDD41;32508.0;189.0;189.0;172.0;0.0;0.0;189.0;189.0;189.0;189.0;2580.0;15.0;15.0;172.0;0.0;0.0;15.0;15.0;15.0;15.0
DO83100000007E6A9D41;31185.0;189.0;189.0;165.0;0.0;0.0;189.0;189.0;189.0;189.0;2310.0;14.0;14.0;165.0;0.0;0.0;14.0;14.0;14.0;14.0
DO83690000007E6CE141;31185.0;189.0;189.0;165.0;0.0;0.0;189.0;189.0;189.0;189.0;2310.0;14.0;14.0;165.0;0.0;0.0;14.0;14.0;14.0;14.0
DO842800000069FECD41;34776.0;189.0;189.0;184.0;0.0;0.0;189.0;189.0;189.0;189.0;1429.864;7.771;7.771;184.0;0.0;0.0;7.771000000000001;7.771;7.771;7.771
DO84C80000006A00DC41;34776.0;189.0;189.0;184.0;0.0;0.0;189.0;189.0;189.0;189.0;1346.1440000000002;7.316;7.316000000000002;184.0;1.7763568394002505e-15;3.1554436208840472e-30;7.316000000000001;7.316;7.316;7.316
DO85CE00000069FC1541;47439.0;189.0;189.0;251.0;0.0;0.0;189.0;189.0;189.0;189.0;9054.323;36.073;36.073;251.0;0.0;0.0;36.073;36.073;36.073;36.073
DO85EB00000069FD8641;47439.0;189.0;189.0;251.0;0.0;0.0;189.0;189.0;189.0;189.0;9427.811;37.561;37.561;251.0;0.0;0.0;37.56100000000001;37.561;37.561;37.561
DO870C0000007E66C341;45180.0;180.0;180.0;251.0;0.0;0.0;180.0;180.0;180.0;180.0;3514.0;14.0;14.0;251.0;0.0;0.0;14.0;14.0;14.0;14.0
DO87760000007E6C8541;45180.0;180.0;180.0;251.0;0.0;0.0;180.0;180.0;180.0;180.0;3514.0;14.0;14.0;251.0;0.0;0.0;14.0;14.0;14.0;14.0
DO88020000007E67A341;45180.0;180.0;180.0;251.0;0.0;0.0;180.0;180.0;180.0;180.0;3514.0;14.0;14.0;251.0;0.0;0.0;14.0;14.0;14.0;14.0
DO88B70000007E6FDD41;45180.0;180.0;180.0;251.0;0.0;0.0;180.0;180.0;180.0;180.0;3514.0;14.0;14.0;251.0;0.0;0.0;14.0;14.0;14.0;14.0
DO89100000007E6A9D41;37980.0;180.0;180.0;211.0;0.0;0.0;180.0;180.0;180.0;180.0;3270.5;15.5;15.5;211.0;0.0;0.0;15.5;15.5;15.5;15.5
DO89690000007E6CE141;37980.0;180.0;180.0;211.0;0.0;0.0;180.0;180.0;180.0;180.0;2954.0;14.0;14.0;211.0;0.0;0.0;14.0;14.0;14.0;14.0
DO902800000069FECD41;65340.0;180.0;180.0;363.0;0.0;0.0;180.0;180.0;180.0;180.0;3397.68;9.36;9.36;363.0;0.0;0.0;9.36;9.36;9.36;9.36
DO90C80000006A00DC41;65340.0;180.0;180.0;363.0;0.0;0.0;180.0;180.0;180.0;180.0;3138.134999999999;8.645;8.644999999999996;363.0;3.552713678800501e-15;1.262177448353619e-29;8.645000000000001;8.645;8.645;8.645
DO92100000006A058341;60480.0;180.0;180.0;336.0;0.0;0.0;180.0;180.0;180.0;180.0;1548.2879999999996;4.608;4.607999999999999;336.0;8.881784197001252e-16;7.888609052210118e-31;4.6080000000000005;4.608;4.608;4.608
DO921D00000069FCED41;60480.0;180.0;180.0;336.0;0.0;0.0;180.0;180.0;180.0;180.0;6590.304;19.614;19.614;336.0;0.0;0.0;19.613999999999997;19.614;19.614;19.614
DO930C0000007E66C341;39600.0;240.0;240.0;165.0;0.0;0.0;240.0;240.0;240.0;240.0;3547.5;21.5;21.5;165.0;0.0;0.0;21.5;21.5;21.5;21.5
DO93760000007E6C8541;39600.0;240.0;240.0;165.0;0.0;0.0;240.0;240.0;240.0;240.0;3300.0;20.0;20.0;165.0;0.0;0.0;20.0;20.0;20.0;20.0
DO94020000007E67A341;35760.0;240.0;240.0;149.0;0.0;0.0;240.0;240.0;240.0;240.0;6556.0;44.0;44.0;149.0;0.0;0.0;44.0;44.0;44.0;44.0
DO94B70000007E6FDD41;35760.0;240.0;240.0;149.0;0.0;0.0;240.0;240.0;240.0;240.0;8716.5;58.5;58.5;149.0;0.0;0.0;58.5;58.5;58.5;58.5
DO95100000007E6A9D41;37680.0;240.0;240.0;157.0;0.0;0.0;240.0;240.0;240.0;240.0;9655.5;61.5;61.5;157.0;0.0;0.0;61.5;61.5;61.5;61.5
DO95690000007E6CE141;37680.0;240.0;240.0;157.0;0.0;0.0;240.0;240.0;240.0;240.0;9969.5;63.5;63.5;157.0;0.0;0.0;63.5;63.5;63.5;63.5
DO962800000069FECD41;49200.0;240.0;240.0;205.0;0.0;0.0;240.0;240.0;240.0;240.0;3985.6100000000006;19.442;19.442000000000004;205.0;3.552713678800501e-15;1.262177448353619e-29;19.442000000000004;19.442;19.442;19.442
DO96C80000006A00DC41;49200.0;240.0;240.0;205.0;0.0;0.0;240.0;240.0;240.0;240.0;4607.58;22.476;22.476;205.0;0.0;0.0;22.476000000000003;22.476;22.476;22.476
DO97CE00000069FC1541;46320.0;240.0;240.0;193.0;0.0;0.0;240.0;240.0;240.0;240.0;4343.657999999999;22.506;22.505999999999997;193.0;3.552713678800501e-15;1.262177448353619e-29;22.506;22.506;22.506;22.506
DO97EB00000069FD8641;46320.0;240.0;240.0;193.0;0.0;0.0;240.0;240.0;240.0;240.0;4632.386;24.002;24.002000000000002;193.0;3.552713678800501e-15;1.262177448353619e-29;24.002;24.002;24.002;24.002
DO98100000006A058341;61920.0;240.0;240.0;258.0;0.0;0.0;240.0;240.0;240.0;240.0;5004.942;19.399;19.399;258.0;0.0;0.0;19.399;19.399;19.399;19.399
DO981D00000069FCED41;61920.0;240.0;240.0;258.0;0.0;0.0;240.0;240.0;240.0;240.0;5011.650000000001;19.425;19.425;258.0;0.0;0.0;19.425;19.425;19.425;19.425
DO990C0000007E66C341;222960.0;240.0;240.0;929.0;0.0;0.0;240.0;240.0;240.0;240.0;18928.375;20.375;20.375;929.0;0.0;0.0;20.375;20.375;20.375;20.375
DO99760000007E6C8541;222960.0;240.0;240.0;929.0;0.0;0.0;240.0;240.0;240.0;240.0;15909.125;17.125;17.125;929.0;0.0;0.0;17.125;17.125;17.125;17.125
